Id,Label,id_artista,popularidad,generos_musicales,genero,Grado,Intermediatez,Cercania,Grado,Intermediatez,Cercania
Dante Spinetta,Dante Spinetta,spotify:artist:4Dcz7srpGyeBFxFpQTxlvC,40,"['Jazz', 'HipHop', 'Rock', 'Rap', 'Alternative']",male,4,0.0020690452690125,0.2303604052482976,4,0.0020690452690125104,0.23036040524829762
Sixto Yegros,Sixto Yegros,spotify:artist:2mddrRrlMf3ykcKyh1jlSs,36,[],male,6,1.2137719419622808e-06,0.1932562351957642,6,1.2137719419622808e-06,0.19325623519576424
Panther,Panther,spotify:artist:6bigFvZX5HdrC98srqxRLQ,53,['Trap'],male,2,0.0,0.193175487465181,2,0.0,0.19317548746518107
Amelita Baltar,Amelita Baltar,spotify:artist:5Z2Vs6p7u0a44wcO68iiQk,28,['Tango'],female,26,0.0306777322344558,0.2736239889524561,26,0.030677732234455857,0.2736239889524561
KAKTOV,KAKTOV,spotify:artist:4G8DaRnN7oPFkEJXwX2i94,49,['Trap'],male,19,0.0024268022798772,0.2092637296318648,19,0.002426802279877228,0.20926372963186482
Veeyam,Veeyam,spotify:artist:0mUKZR7k8cOSewS6faryVf,43,['Rap'],male,6,9.085014886760688e-05,0.2008689355539464,6,9.085014886760688e-05,0.20086893555394641
Axel Caram,Axel Caram,spotify:artist:2PkjYgKhHI4qofYoxWB9ZP,50,"['Pop', 'Cumbia']",male,3,0.0015529678294078,0.1769358336522515,3,0.0015529678294078273,0.17693583365225157
Maia Reficco,Maia Reficco,spotify:artist:3bSOF3p2LElLzyfeazQSOM,41,"['Pop', 'R&B']",female,4,0.0014419610670511,0.1662073097663271,4,0.0014419610670511893,0.16620730976632714
Chita,Chita,spotify:artist:7ejyCwT1b7MIwHVCVO8HjX,43,"['R&B', 'Alternative']",female,8,0.0243341748927292,0.2598838298669664,8,0.024334174892729276,0.25988382986696645
La Duraca,La Duraca,spotify:artist:7x7vfF89MqM94K8wvK3Omq,41,[],female,1,0.0,0.1870532703978422,1,0.0,0.18705327039784223
Mechi Pieretti,Mechi Pieretti,spotify:artist:5rnUlLid4WEcDmAz6McM33,34,['Pop'],No se el género,1,0.0,0.1870532703978422,1,0.0,0.18705327039784223
Lali,Lali,spotify:artist:22P1OY4TRFRwhP0q29loQ8,64,"['Pop', 'HipHop']",female,5,0.0018801009197797,0.2397165572070515,5,0.0018801009197797905,0.2397165572070515
Bardero$,Bardero$,spotify:artist:5Q2fyL2TcdUY9IqKTkGk5G,59,['HipHop'],No se el género,26,9.21120368340599e-05,0.1865250134480903,26,9.21120368340599e-05,0.18652501344809036
Franky Style,Franky Style,spotify:artist:1cLDC1abeY1jIY5AX2Rtbx,58,"['Trap', 'Cumbia']",male,50,7.617290532196965e-06,0.1767329255861366,50,7.617290532196965e-06,0.1767329255861366
XLAB,XLAB,spotify:artist:1oagCrMTYkUXI9pmudj2w6,46,[],male,17,0.0055869928943501,0.193606923506421,17,0.005586992894350124,0.193606923506421
Lil Troca,Lil Troca,spotify:artist:51Q6RZOMEMuZHySsfWLTtk,47,['Rap'],male,16,6.970840675439859e-06,0.1767779760387458,16,6.970840675439859e-06,0.17677797603874587
T&K,T&K,spotify:artist:62zZb3lpCFBqLDjMccQgND,48,"['HipHop', 'Rap']",male,4,0.0028828817581521,0.1763957776929925,4,0.002882881758152126,0.1763957776929925
Los Palmeras,Los Palmeras,spotify:artist:2Htm0q72SjGSmsy8EOIhRG,63,['Cumbia'],No se el género,19,0.0121821535710498,0.2553857484809427,19,0.0121821535710498,0.25538574848094275
Selecta,Selecta,spotify:artist:1m9WPOccw8sizsVYUhSVjZ,50,[],male,1,0.0,0.1756363175889578,1,0.0,0.17563631758895784
Mike Southside,Mike Southside,spotify:artist:4jIPjVHNkAKmqfWjfwg960,34,"['Trap', 'HipHop', 'Rap']",male,26,0.0004274606801354,0.1923983909002635,26,0.00042746068013540595,0.19239839090026356
Jairo Vera,Jairo Vera,spotify:artist:5CAruGjgds3QlF5ICtEnnc,65,"['Trap', 'Reggae']",male,1,0.0,0.1672898323483295,1,0.0,0.1672898323483295
Marilina Bertoldi,Marilina Bertoldi,spotify:artist:1nm9PdmvzPXJmIlMOk5XLy,45,"['Rock', 'Alternative']",female,3,0.0011977547451533,0.1983979402088399,3,0.0011977547451533562,0.19839794020883994
Zoe Gotusso,Zoe Gotusso,spotify:artist:3XBw8ImFEo86mEB2dYh0vS,53,"['Pop', 'Rock', 'Alternative']",female,6,0.0043164812839653,0.2617474995282128,6,0.004316481283965348,0.26174749952821286
Miranda!,Miranda!,spotify:artist:2eEmsgWmUFMbtU7agJpnjY,67,"['Pop', 'Electronica', 'Rock', 'Alternative']",No se el género,5,0.0037237850666641,0.2250527340580886,5,0.0037237850666641697,0.2250527340580886
Malena Villa,Malena Villa,spotify:artist:0RlibgJa8rtPvVn415J6WN,40,"['Pop', 'Alternative']",female,7,0.0005822995706473,0.1939588868689693,7,0.0005822995706473196,0.19395888686896937
Ilan Amores,Ilan Amores,spotify:artist:0gQKzAKJSt3Ko7SKEr9y9z,31,[],male,2,0.0002810029676408,0.1974377224199288,2,0.00028100296764080947,0.19743772241992882
Gandu,Gandu,spotify:artist:6bx6A2ZgZA9erQg6hH453L,9,[],male,1,0.0,0.1651977131967603,1,0.0,0.16519771319676035
Cieloazul,Cieloazul,spotify:artist:2mFYQhy4Pcp2yvzuZQN9Dw,32,[],male,4,0.0,0.1651977131967603,4,0.0,0.16519771319676035
Wirchi,Wirchi,spotify:artist:7xfNmsjjymUmtxwxATAIT1,12,[],male,1,0.0,0.1651977131967603,1,0.0,0.16519771319676035
Muerejoven,Muerejoven,spotify:artist:2yGXs7AlyNVetlMvwsFXGk,49,['Trap'],male,15,0.0004828391038317,0.1890676117775354,15,0.000482839103831717,0.18906761177753545
Saramalacara,Saramalacara,spotify:artist:3QchzUOTSCKWmaRGEEiuir,54,"['Trap', 'Pop']",female,4,6.204187520038318e-05,0.1706866847157273,4,6.204187520038318e-05,0.1706866847157273
K4,K4,spotify:artist:0yjlGMMFuIci8JCTAOb2AU,37,['Trap'],No se el género,7,0.0001772837191973,0.1670681763430498,7,0.0001772837191973325,0.16706817634304988
Broke Carrey,Broke Carrey,spotify:artist:6FWTqLIVK9jjMGcNJnF7xE,42,['Trap'],male,6,0.0001680473295498,0.1669475204622051,6,0.00016804732954981756,0.1669475204622051
Parcas,Parcas,spotify:artist:5p3XXlSBTvUHz4X1yCW1J4,24,[],male,2,0.0,0.1667267700444765,2,0.0,0.1667267700444765
Ill Quentin,Ill Quentin,spotify:artist:26TC05Yq727xEWV77nRinH,44,['Trap'],male,9,3.316487334752175e-06,0.1669073405535499,9,3.316487334752175e-06,0.16690734055354994
Naiky Unic,Naiky Unic,spotify:artist:4RiS74hj1A525qvPs66MMP,19,[],No se el género,4,8.975578177688368e-06,0.1750820499873769,4,8.975578177688368e-06,0.17508204998737692
Adrian Dargelos,Adrian Dargelos,spotify:artist:4F55zi79SZIr5PPOLTJ6cg,32,"['Pop', 'Rock']",male,4,0.003526008955713,0.2595434131736527,4,0.003526008955713075,0.2595434131736527
Juan Ingaramo,Juan Ingaramo,spotify:artist:2XVoz4hoXgQ3C2BTGxl9V2,52,"['Trap', 'Pop', 'Rock', 'Alternative']",male,12,0.0084491005134965,0.2371345529150282,12,0.008449100513496536,0.23713455291502822
Julio Cortázar,Julio Cortázar,spotify:artist:6W4YLMJJjhfR6qMH334AGO,10,[],male,1,0.0,0.1676943537661709,1,0.0,0.16769435376617095
Angela Torres,Angela Torres,spotify:artist:6LZA6PhNCwUfHzqfpN1nYL,55,"['Pop', 'Reggae']",female,6,0.001646954639072,0.2109184914841849,6,0.0016469546390720893,0.21091849148418493
Goyo Degano,Goyo Degano,spotify:artist:2jdmT8GGcp6lWM58D0ROYf,38,[],male,5,0.0016403239197951,0.1976064966519447,5,0.0016403239197951044,0.1976064966519447
BB ASUL,BB ASUL,spotify:artist:27PauMy7dOiHb7sI8h6s4T,27,['Pop'],No se el género,5,0.0038128975231854,0.2104065533980582,5,0.003812897523185441,0.21040655339805825
Cintia Aldana,Cintia Aldana,spotify:artist:2P1om2xP9Qw4adZzOZKZeP,18,[],female,1,0.0,0.1691669715819002,1,0.0,0.16916697158190022
Teresa Parodi,Teresa Parodi,spotify:artist:4D56DujhnBViJ4oYCSl1GK,36,"['Chamame', 'Folklore']",female,38,0.0109748106846286,0.2693726937269373,38,0.010974810684628654,0.2693726937269373
Andrés Gimenez,Andrés Gimenez,spotify:artist:54au8jquUdJ4NFUehWHjpg,9,[],male,2,0.0,0.2518612674777555,2,0.0,0.25186126747775556
Abel Pintos,Abel Pintos,spotify:artist:6HTUcOExehqydqa7C3usAa,67,"['Pop', 'Folklore', 'Rock']",male,11,0.0015978034886683,0.2469289656400213,11,0.0015978034886683287,0.24692896564002137
Jairo,Jairo,spotify:artist:45NmCZDtKwIIVLpl2c3csx,38,"['Pop', 'Folklore', 'Rock']",male,26,0.0041436035666549,0.271800901430531,26,0.004143603566654995,0.27180090143053104
Adriana Varela,Adriana Varela,spotify:artist:5diAzb0BD6mSdU1xOhM7dc,36,['Tango'],female,37,0.0485077480718313,0.2860973597359736,37,0.048507748071831315,0.2860973597359736
Piero,Piero,spotify:artist:0kavuvnHTeqwjKLV7qPpQm,49,"['Pop', 'Folklore', 'Rock']",male,5,0.0008436280695268,0.2472811552861472,5,0.0008436280695268998,0.24728115528614728
Miss Bolivia,Miss Bolivia,spotify:artist:4xx3PjUWxXY0qEXUdDhrwx,39,"['Cumbia', 'Rap']",female,12,0.0192591677365598,0.2553857484809427,12,0.019259167736559814,0.25538574848094275
Lautaro Heredia,Lautaro Heredia,spotify:artist:7vihyogEq7rNUA6kcrYcUr,1,[],male,2,0.0,0.228200065811122,2,0.0,0.22820006581112207
Motta Luna,Motta Luna,spotify:artist:2VwThHR4o6olzyThu7YJiz,1,['Folklore'],No se el género,2,0.0,0.228200065811122,2,0.0,0.22820006581112207
Sandra Mihanovich,Sandra Mihanovich,spotify:artist:34wPpdJXRno0eRFI5IAOYh,40,"['Jazz', 'Pop', 'Rock']",female,15,0.0068525993915104,0.2645936665394887,15,0.00685259939151041,0.26459366653948874
Adrián Iaies,Adrián Iaies,spotify:artist:38yosjfq6EXdWuWbLSKulh,10,['Jazz'],male,35,0.0036767996664786,0.2331092436974789,35,0.003676799666478667,0.23310924369747898
Peteco Carabajal,Peteco Carabajal,spotify:artist:5gii2fYcxLoUHWd1lWe4aT,43,"['Chamame', 'Folklore']",male,72,0.03899098157424,0.2715880164480125,72,0.03899098157424001,0.27158801644801256
Nahuel Pennisi,Nahuel Pennisi,spotify:artist:4IjHltwoSKbUeZLPeULyDe,57,['Folklore'],male,10,0.003254433302063,0.2477228076442222,10,0.003254433302063054,0.2477228076442222
