Id,Label,timeset,id_artista,popularidad,generos_musicales,genero,louvain,infomap,modularity_class
Pyura,Pyura,,spotify:artist:77cMdN9JK8HlrCtHdPKSHi,22,"['Pop', 'Electronica', 'Alternative']",NA,1,52,13
Gilda,Gilda,,spotify:artist:6Q6qTNC2rAegcR5QjzcRgE,57,"['Cumbia', 'Rock']",female,3,239,5
Emmanuel Horvilleur,Emmanuel Horvilleur,,spotify:artist:3Pc0Gebx1aAAJlZh3zysmI,50,"['Pop', 'Rock', 'Rap', 'Alternative']",male,1,156,13
ODD MAMI,ODD MAMI,,spotify:artist:2Y6AtL4xQFvg8nroRM3ZV6,45,"['Pop', 'R&B']",female,0,105,0
Dakillah,Dakillah,,spotify:artist:4SzAEZqVVfHO0El8eDu9KJ,38,"['Trap', 'HipHop', 'Rap']",female,0,235,0
Rosario Ortega,Rosario Ortega,,spotify:artist:6AvVNBiwAW7CXZPACAo2OB,38,['Pop'],female,1,159,13
Clara Cava,Clara Cava,,spotify:artist:5bOm9wAui94GDhPOCKgmhY,43,"['R&B', 'Electronica', 'Alternative']",female,0,23,0
Cítrico,Cítrico,,spotify:artist:00CoCNLLdB7cWFgA8NG5q9,28,['Alternative'],male,1,24,13
El Zar,El Zar,,spotify:artist:1cj1ov4uZ0Htsx9PWDpNvi,51,"['Rock', 'Alternative']",NA,1,24,13
Luciana Jury,Luciana Jury,,spotify:artist:6lPYU9UIxc7E2cS0cSJ6Lt,27,['Folklore'],female,1,163,6
Juan Quintero,Juan Quintero,,spotify:artist:3No5HqLrMqJbmpJ1nUjUiM,27,['Folklore'],male,3,109,5
