Id,Label,id_artista,popularidad,generos_musicales,genero,betweenness
Lucio Mantel,Lucio Mantel,spotify:artist:5kCJ9ht14oLO98WlBRfwyk,20,['Alternative'],male,3
Hernan Hecht,Hernan Hecht,spotify:artist:7dl3J3Gs0ryFhyeRDypljB,13,"['Jazz', 'Folklore', 'Rock']",male,0
Olga Joukova,Olga Joukova,spotify:artist:3WxLEa1Ord5nJ0T5IY3oNQ,0,['Tango'],NA,1
Nelson Goerner,Nelson Goerner,spotify:artist:5aQIVZsK11PazWGaq0Fzu6,14,['Tango'],male,1
Sergio Tiempo,Sergio Tiempo,spotify:artist:7kIK193iuLPugEvQGoirww,21,['Tango'],male,1
Karin Lechner,Karin Lechner,spotify:artist:5J4H8Y348MUCgJnk0tmceZ,22,['Tango'],female,1
Natalia Margulis,Natalia Margulis,spotify:artist:6YVWWUfQ6fDkHI4cxX9bdQ,0,['Tango'],female,1
Anton Arensky,Anton Arensky,spotify:artist:2DLKrW0pn180nOIjUWlTjm,33,['Clasico'],male,1
Paula Balassanian,Paula Balassanian,spotify:artist:2u6dVxxtGjR4nbAO7YHl7J,0,"['Cumbia', 'Folklore']",female,0
Raúl Barboza,Raúl Barboza,spotify:artist:3e3vO59T2UZID97fDNr00q,0,['Chamame'],male,14
