,cancion
9384,Segundo Acto
9385,Segundo Acto
9386,Según Me Brotan las Coplas
9387,Seis Canciones de Cuna: Apegado a mí
9388,Seis Canciones de Cuna: Corderito
9389,Seis Canciones de Cuna: Encantamiento
9390,Seis Canciones de Cuna: Hallazgo
9391,Seis Canciones de Cuna: Meciendo
9392,Seis Canciones de Cuna: Rocio
9393,Seis Canciones de Cuna: Rocío
9394,Seis de Enero - Remasterizado
9395,Seis dias
9396,Seleccion De Tangos
9397,Seleccion De Tangos De Arolas
9398,Seleccion de Tangos
9399,Seleccion de polcas
9400,Selecciones Discépolo
9401,Selecciones Discépolo
9402,Selecciones de Enrique Delfino
9403,Selecciones de Enrique Delfino
9404,Selecciones de Gardel
9405,Selección De Guaranias:
9406,Selección de Guaranias: Mi Dicha Lejana / Mis Noches Sin Tí / Quisiera Ser
9407,Selección de Guaranias: Mi Dicha Lejana / Mis Noches Sin Tí / Quisiera Ser
9408,Selección de Guaranias: Mi Dicha Lejana / Mis Noches Sin Tí / Quisiera Ser
9409,Selección de Polcas
9410,Selección de Rancheras: La Mentirosa / Afilador / Decí Que Sí
9411,Selección de Rancheras: La Mentirosa / Afilador / Decí Que Sí
9412,Selección de Rancheras: La Mentirosa / Afilador / Decí Que Sí
9413,Selección de Tangos de Discépolo: Victoria / Que Vachaché / Confesión / Esta Noche Me Emborracho
9414,Selección de Tangos de Discépolo: Victoria / Que Vachaché / Confesión / Esta Noche Me Emborracho
9415,Selvas virgenes
9416,Seminare (feat. Diego Torres)
9417,Sencillito Y De Alpargatas
9418,Sencillo Y Compadre
9419,Sencillo Y Compadre
9420,Sencillo y Compadre
9421,Sencillo y compadre
9422,Senda de Amor
9423,Sendas
9424,Senderito De Sol
9425,"Senor Ministro (feat. Chivo Borraro, Chino Rossi, Alfredo Remus & Norberto Minichilo)"
9426,"Senor Ministro (feat. Chivo Borraro, Chino Rossi, Alfredo Remus & Norberto Minichilo)"
9427,Senor...senor
9428,Sentado En Un Tanque (Sittin' On A Rubbish Can)
9429,Sentate Hermano
9430,"Sentate, Hermano - Remasterizado"
9431,Sentencia - Remasterizado
9432,Sentido
9433,Sentimiento Gaucho
9434,Sentimiento criollo
9435,Sentimiento criollo
9436,Sentimiento malevo
9437,Sentimiento malevo
9438,Sentir del Corazon
9439,"Señor, Señor - Remastered"
9440,Separadori
9441,Sepia Tone
9442,Sequestered
9443,Sera una Noche
9444,Sera una noche
9445,Serafin y Julia Paz - Remasterizado
9446,Será Lo Mejor - Remastered
9447,Serena
9448,Serenade
9449,Serenade des grenouilles
9450,Serenata - Guido Sava's 'Without A Struggle' Remix
9451,Serenata Campera - Remastered
9452,Serenata Criolla - Remasterizado
9453,Serenata Del 900
9454,Serenata Gitana
9455,Serenata Maleva
9456,Serenata Maleva - Remasterizado
9457,Serenata Mia
9458,Serenata campera
9459,Serenata del 900
9460,Serenatero De Bombos
9461,Seres
9462,"Seria, Seriola - Remasterizado"
9463,Serie Americana: Choro
9464,Serie Americana: Gato y malambo
9465,Serie Americana: Guarania
9466,Serie Americana: Preludio
9467,Serie Americana: Takirari
9468,Serie Americana: Tonada
9469,Serie Americana: Vals
9470,Serpiente De Gas
9471,Será Por Hoy
9472,Será Que la Canción Llegó Hasta el Sol
9473,Será lo mejor
9474,Será una Noche - Remasterizado
9475,Será una noche
9476,Serás Verdad (Bonus Track) [feat. Magnolia Cuarteto de Cuerdas]
9477,Sería Facil Decir
9478,Sería Más Fácil
9479,"Seven Kayne: Bzrp Music Sessions, Vol. 33"
9480,Severa Villafañe
9481,Sexo y Violencia
9482,Sexy (feat. KHEA & Duki)
9483,Señalada por el índice del sol - Vivo en el Teatro Opera
9484,Señor Comisario - Remasterizado
9485,Señor... No Me la Quites
9486,Señor... Señor
9487,Señora Princesa (with Raúl Lavié)
9488,Señores Con Yo Soy del Centro
9489,Señorita Maria
9490,Señorita costurera - 1922 Singer
9491,Sha-Sha
9492,Shai
9493,Shai
9494,She Don't Give a Fo
9495,She's So Brave
9496,She's a woman
9497,Sheesh - Remix
9498,Sheska
9499,Shorty
9500,Show It from the Window
9501,Shuffle del Power Trío
9502,Shuseta
9503,Si Alguna Vez
9504,Si De Mi Te Has Olvidado - Remastered
9505,Si Dejaras de Quererme
9506,Si El Corazón Supiera
9507,Si Ella Supiera (with Luciano Pereyra)
9508,Si Es Que Puedes Oir
9509,Si Es Que Puedes Oir (Corta I)
9510,Si Es Que Puedes Oir (Corta Ii)
9511,Si Es Que Puedes Oir (Escape Final)
9512,Si La Llegaran A Ver - Remastered
9513,Si Me Das a Elegir
9514,Si Me Hablaras Corazón
9515,Si Me Llama
9516,Si Nace Chancleta
9517,Si No Estuvieras Tú - Remastered
9518,Si No Me Engaña el Corazón
9519,Si No Son Más de las Tres - El Bohemio
9520,Si No Te Vas
9521,Si Nunca Queremos Mirar
9522,Si Pudiera
9523,Si Queremos (with Natalia Pastorutti)
9524,Si Quieres
9525,Si Quisiste Ver
9526,Si Se Salva El Pibe
9527,Si Se Salva el Pibe - Remasterizado
9528,Si Sos Brujo
9529,Si Soy Así - Remasterizado
9530,Si Supiera Que la Extraño (with Rodolfo Lesica)
9531,Si Te Lastimé
9532,"Si Te Perdes, Chiflame"
9533,Si Te Vas Yo Me Quedo Llorando
9534,Si Tu Fueras Mi Novia - Remasterizado
9535,Si Tu Le Voulais
9536,Si Tu Quisieras
9537,Si Va A Ser...Será
9538,Si Yo Fuera Capitan
9539,Si Yo Fuera Comisario - Remasterizado
9540,Si Yo Fuera Millonario
9541,Si Yo Fuera Millonario - Remasterizado
9542,Si Yo Pudiera Olvidarla
9543,Si Yo Soñara - Remasterizado
9544,Si Yo Te Contara
9545,Si Yo Te Contara - Remasterizado
9546,Si de Mi Te Has Olvidado
9547,Si el País Me Llama
9548,Si la llegaran a ver
9549,Si me llaman a mi
9550,Si nace chancleta
9551,Si no te olvido
9552,Si no te olvido
9553,Si no te olvido
9554,Si no te olvido
9555,Si un Día Ves
9556,Si yo pudiera olvidarla
9557,Siempre Acuerdate de Mi
9558,Siempre Contigo - Remasterizado
9559,Siempre Igual
9560,Siempre Me Has Mentido
9561,Siempre Me Has Mentido
9562,Siempre No
9563,Siempre París
9564,Siempre París
9565,Siempre París
9566,Siempre París
9567,Siempre Solterito
9568,Siempre Solterito
9569,Siempre Solterito
9570,Siempre Te Amare - Remasterizado
9571,Siempre Te Recuerdo - Remasterizado
9572,Siempre Tuya Seré - Remasterizado
9573,Siempre Unidos
9574,Siempre Unidos - Remasterizado
9575,Siempre en Mi Amor
9576,Siempre en Mi Amor
9577,Siempre se vuelve a Buenos Aires - Arr. pour piano et clarinette
9578,Siempre una Cancion
9579,Siempre... Siempre
9580,Sierra Española
9581,Sierra Leona - Chancha Via Circuito Remix
9582,Sierra Leona - SidiRum Remix
9583,Siesta en el Pequod
9584,Siete Palabras - Instrumental
9585,Siete de Abril
9586,Sig Sauer
9587,Sig Sauer
9588,Siga el Baile (with Alberto Castillo)
9589,Siga el Tango - Remasterizado
9590,Sigan Tomando Muchachos - Remasterizado
9591,Sigo Esperándote
9592,Sigo Girando
9593,Sigo el río
9594,Sigue
9595,Sigue tu camino - x Todos Tus Muertos
9596,Silbando - Remasterizado
9597,Silbando en la Terraza
9598,Silbando en la Terraza
9599,Silbando: Silbado
9600,Silbar de Boyero
9601,Silencio - Remasterizado
9602,Silencio Fértil 2 (Remix)
9603,Silencio del Alma (feat. Los Nocheros)
9604,Silueta Portena
9605,Silueta Porteña - Remasterizado
9606,Silueta Poteña
9607,Silueta porteña
9608,Silueta porteña
9609,Simple
9610,Simple
9611,Simple
9612,Simple Detalle
9613,Simpática Muchachita
9614,Sin Cadenas (feat. Emanero)
9615,Sin Comprender
9616,Sin Compromiso
9617,Sin Conexion
9618,Sin Distancias
9619,Sin Drama
9620,Sin Ella
9621,Sin Frenos
9622,Sin Gamulán
9623,Sin Gritar
9624,Sin Heridas
9625,Sin Mirar
9626,Sin Mirar Atras
9627,Sin Palabras (feat. Sexteto Mayor)
9628,Sin Piedad (feat. Jorge Serrano)
9629,Sin Rabia Y Sin Pena
9630,Sin Rumbo - Remasterizado
9631,Sin Saber
9632,Sin Salida
9633,Sin el Pan y Sin la Torta
9634,Sin esperanza
9635,Sin lagrimas
9636,Sin lagrimas
9637,"Sin ley, peso ni carne"
9638,Sin madre
9639,Sin pretensiones
9640,Sin pétalos
9641,Sin retorno
9642,Sin retorno
9643,Sin retorno
9644,Sin rumbo fijo
9645,Sin tocar el suelo
9646,Sincronía
9647,Sinfonia Argentina: I. Arrabal
9648,Sinfonia de Arrabal
9649,Sinfonia de Arrabal
9650,Sinfonia de Arrabal
9651,Sinfonía de Arrabal
9652,Sinfonía de Arrabal - Remasterizado
9653,Sinvergüenza Alabancioso
9654,Siqueiros es México
9655,Siracusa
9656,Sirva Otra Copa - Remasterizado
9657,Sirviñaco
9658,Six Tango Etudes For Flute Solo: II. Anxieux Et Rubato
9659,Six Tango Etudes For Flute Solo: III. Molto Marcato e Energico
9660,Slide Blues
9661,So Little Time
9662,So What?
9663,So What?
9664,Sobre El Pucho
9665,Sobre El Pucho (Un Callejon En Pompeya)
9666,Sobre Imágenes
9667,Sobre Vos (feat. Adriana Varela)
9668,Sobre el Cielo Plateado del Atardecer (Dubai)
9669,Sobre el Sol y la Luna
9670,Sobre el pucho
9671,Sobre la Plaza Llueve
9672,Sobre los Inmigrantes
9673,Sobre los Inmigrantes
9674,Sobre madera rosa
9675,Sobretarde
9676,Sobreviviendo (with León Gieco)
9677,Socios (feat. Nahuel Pennisi)
9678,Soft Glow
9679,Sol
9680,Sol - Vivo Calafate
9681,Sol Naciente
9682,Sol Sombrilla
9683,Sol de Noche
9684,Sol de los Andes
9685,Sol y Sombra - Remasterizado
9686,Solamente Dios Y Yo - Remastered
9687,Solamente Dios y Yo
9688,Solamente Usted - Remasterizado
9689,Solamente dios y yo
9690,Solamente tú
9691,Soldadito de Amor
9692,Soldados Bufalo
9693,"Soledad (Arr. for piano, cello and vibraphone by Gustavo Beytelmann)"
9694,Soledad (Tango Canción) - Voice
9695,Soledad (Tango Canción) - Voice
9696,Soledad (feat. Guillermo Fernández)
9697,Soledad - Instrumental
9698,Soledad - Remastered 2020
9699,Soledad - Remasterizado
9700,Soledad La De Barracas - Remastered
9701,"Soledad, la de barracas"
9702,Soledad... La De Barracas
9703,Soles
9704,Solita - Remix
9705,Solitario - Remasterizado
9706,Sollozo de Bandoneón
9707,Sollozo de bandoneon
9708,Solo Dios Sabe
9709,Solo Dios Sabe (Instrumental)
9710,Solo La La La
9711,Solo Le Pido A Dios
9712,Solo Los Dos
9713,Solo Piano en México
9714,Solo Piano en México
9715,Solo Pienso en Ti - Remasterizado
9716,Solo Te Quiero Cantar
9717,Solo de Bandoneón
9718,Solo pa' bailarla - La simple
9719,Solo pa' bailarla - La simple
9720,Solo pa' bailarla - La simple
9721,Solo pa' bailarla - La simple
9722,Solo se trata de vivir - Vivo en el Teatro Opera
9723,Solo un Poco de Música
9724,Solo un Recuerdo
9725,Solo un sueño
9726,Solo una Novia - Remasterizado
9727,Solstice
9728,Solsticio
9729,Soltera (feat. Yubeili)
9730,Soltero Soy Feliz
9731,Solutions
9732,Sombra Gaucha
9733,Sombra Gaucha
9734,Sombra Gaucha
9735,Sombra de Humo
9736,Sombras Nada Más
9737,Sombras Nada Más - Remasterizado
9738,Sombras del Ayer
9739,Sombras del Puerto
9740,"Sombras, nada mas"
9741,Sombras... Nada Más!
9742,Somebody Come Get This Bitch
9743,Someday - Jazz Online Club Sessions
9744,Someday my Prince Will Come
9745,Someday my Prince Will Come
9746,Something
9747,Something Blue
9748,Something Unusual
9749,Somos - MTV Unplugged
9750,Somos Cobardes
9751,Somos Hermanas
9752,Somos Lo Que Fuimos
9753,Somos Lo Que Somos (with Cacho Castaña)
9754,Somos Nosotros
9755,Somos Nosotros
9756,Somos el Cambio
9757,Son Cosas Del Bandoneón - Remastered
9758,Son Cosas de Bandoneon
9759,Son Dos
9760,Son Dos
9761,Son Dos
9762,Son Dos
9763,Son Dos
9764,Son Grupos - Remasterizado
9765,"Son Juguetes, No los Retes"
9766,Son cosas del bandoneón
9767,Sonaste Maneco - Remasterizado
9768,Sonaste Tiburon - Remasterizado
9769,Sonata 1 - 1 er movimiento
9770,Sonata 1- 2 do moviemiento
9771,Sonata 1- 3 er movimiento
9772,Sonata 2 para guitarra - 1 er movimiento
9773,Sonata 2 para guitarra - 2 do movimiento
9774,Sonata 2 para guitarra - 3 er movimiento
9775,Sonata 3 para guitarra - 1 er movimiento
9776,Sonata 3 para guitarra - 2 do movimiento
9777,Sonata 3 para guitarra - 3 er movimiento
9778,Sonata II: I Moderato-Allegro
9779,Sonata II: II Andante moderato
9780,Sonata II: III Allegro vivace
9781,"Sonata No. 1, Op. 22: Adagio Molto Appassionato"
9782,"Sonata No. 1, Op. 22: Allegro Marcato"
9783,"Sonata No. 1, Op. 22: Presto Misterioso"
9784,"Sonata No. 1, Op. 22: Ruvido ed Ostinato"
9785,"Sonata for Piano Four-hands in B-Flat Major, K. 358: I. Allegro"
9786,"Sonata for Piano Four-hands in B-Flat Major, K. 358: II. Adagio"
9787,"Sonata for Piano Four-hands in B-Flat Major, K. 358: III. Molto presto"
9788,"Sonata para Violin y Piano, op. 24 ""Primavera"" : Rondó"
9789,"Sonata para Violin y Piano, op. 24 ""Primavera"": Adagio Molto Espressivo"
9790,"Sonata para Violin y Piano, op. 24 ""Primavera"": Allegro"
9791,"Sonata para Violin y Piano, op. 24 ""Primavera"": Scherzo"
9792,Sonata para guitarra No 3 - Allegro
9793,Sonata para guitarra n° 1: I Allegro deciso e ritmico
9794,Sonata para guitarra n° 2: I Allegreto intimo ed espressivo
9795,Sonata para guitarra n° 2: II Andante sostenido
9796,Sonata para guitarra n° 2: III Presto
9797,Sonata para guitarra n° 3: Adagio
9798,Sonata para guitarra n° 3: Allegro preciso e ritmico
9799,Sonata para guitarra n°1: II Andante
9800,Sonata para guitarra n°1: III Allegro spiritoso
9801,Sonate pour clarinette et piano: Allegro deciso
9802,Sonate pour clarinette et piano: Andante
9803,Sonate pour clarinette et piano: Rondo. Allegro spiritoso
9804,Sonatina Caótica for Two Guitars: I. Allegro
9805,Sonatina Caótica for Two Guitars: II. Andante
9806,Sonatina Caótica for Two Guitars: III. Presto
9807,Sonatina Caótica: I. Allegro
9808,Sonatina Caótica: II. Andante
9809,Sonatina Caótica: III. Presto
9810,Sonatine pour piano: Allegretto
9811,Sonatine pour piano: Lento muy expresivo
9812,Sonatine pour piano: Presto
9813,Soneto a Mamá
9814,Soneto a Troilo
9815,Song for mi father - Jazz Online Club Sessions
9816,Sonido Plateado
9817,Sonidos de aquel dia (Sounds from That Day)
9818,Sonsa - Remasterizado
9819,Soñemos - Remastered
9820,Sopa de Lágrimas (Para el Pibe Delete)
9821,Soportar
9822,Sorpresa de novia
9823,Sorpresa de novia
9824,Sortilegio
9825,Sos Aquella Mascarita
9826,Sos Bueno Vos Tambien - Remasterizado
9827,Sos Bueno Vos También
9828,"Sos Bueno, Vos Tambien"
9829,Sos Imposible - Duet Version
9830,Sos un Tipo Regadera
9831,Sosegate Feliciano - Remasterizado
9832,"Sosegate, Micaela"
9833,Sosiego En La Noche - Remastered
9834,Sospiró una señora
9835,Soul Mate - Orchestral Version
9836,Sound 9
9837,Souvenir de Buenos Aires
9838,Soy Aquel Viajero
9839,Soy Chaqueño Señores
9840,Soy Cuyano - Instrumental Version
9841,Soy De La Lleca
9842,Soy Del '90
9843,Soy Del Noventa - Remastered
9844,Soy El Cantor De La Orquesta
9845,Soy Libre
9846,Soy Libre
9847,Soy Mendigo
9848,Soy Muchacho De La Guardia
9849,Soy Muchacho de Arrabal
9850,"Soy Santiagueño, Soy Chacarera"
9851,"Soy Santiagueño, Soy Chacarera"
9852,Soy Tamborera
9853,Soy Tamborera
9854,Soy Tan
9855,Soy Un Asesino
9856,Soy bailarín
9857,Soy del 90
9858,Soy del Mar
9859,Soy del Noventa - Astor Piazzolla
9860,Soy del Noventa - Astor Piazzolla
9861,Soy el Sol
9862,Soy muchacho de arrabal
9863,Soy para Ti
9864,Soy todo lo que recuerdo
9865,Soy un Arlequín (with Atilio Stampone y su Orquesta Tipica)
9866,Soy un Arlequín - Remasterizado
9867,Soy un Muchacho de la Guardia
9868,Soy un Muchacho de la Guardia
9869,Soy un Pobre Presidiario
9870,Soy un Porteno - Astor Piazzolla
9871,Soy un Porteno - Astor Piazzolla
9872,Soy un Porteño
9873,Soy una Fiera
9874,Soy una Fiera - Remastered
9875,Soñador
9876,Soñar Y Nada Màs - Astor Piazzolla
9877,Soñar Y Nada Màs - Astor Piazzolla
9878,Soñar Y Nada Más
9879,Soñar y Nada Mas
9880,Soñar y Nada Mas - Remastered
9881,Soñar y Nada Mas - Remastered
9882,Soñar y Nada Más - Remasterizado
9883,Soñar y nada mas
9884,Soñar y nada mas
9885,Speak No Evil
9886,Speak No Evil
9887,Speedy
9888,Spirit Animal
9889,Splash
9890,Sposa
9891,Spring In Seven
9892,Starboy
9893,Stella by Starlight
9894,Stella by Starlight
9895,Steps In The Sand
9896,Still - Duet
9897,Straight No Chaser
9898,Straight No Chaser
9899,Straigth No Chaser
9900,Straigth No Chaser
9901,Strangely (Remix)
9902,Strangerdanger
9903,Strike Up The Band (Que Suene la Banda)
9904,Su Amor Me Hace Volar
9905,Suavecito (Remix)
9906,Suavemente - Remasterizado
9907,Sube a Mi Nave
9908,Sube y Baja - Instrumental (Remasterizado)
9909,"Sube, Sube, Sube (Vivo Teatro Coliseo)"
9910,Subiendo Escaleras
9911,Sublevación - Remasterizado
9912,Submarino Soluble
9913,Subo...Subo...
9914,Suciedad Rural
9915,Sucio y Desprolijo
9916,"Sudamerica, O el Regreso a la Aurora"
9917,Sudamericano En Nueva York
9918,Sudamericano en Nueva York
9919,Sudestada - Gustavo Lamas Remix
9920,Sudán
9921,Sudán
9922,Sue Ann - Spanish Version
9923,Suena Guitarra Querida
9924,Sueno Con Serpientes
9925,Sueno de juventud
9926,Sueno del nino negro
9927,Sueno del nino negro
9928,Sueno del nino negro
9929,Sueno del nino negro
9930,Sueño De Juventud - Remastered
9931,Sueño de Arena
9932,Suerte Loca - Remasterizado
9933,Sueño Azul
9934,Sueño Azul
9935,Sueño Con El - Remasterizado
9936,Sueño De Juventud - 2a Version
9937,Sueño Fue - Remasterizado
9938,Sueño Malevo
9939,Sueño Querido
9940,Sueño Tus Besos - Remasterizado
9941,Sueño de Amor - Remasterizado
9942,Sueño de Juventud
9943,Sueño de Juventud
9944,Sueño de Juventud - Remasterizado
9945,Sueño de Mamá
9946,Sueño de Muñeca - Remasterizado
9947,Sueño de Piedra Lunar
9948,Sueño de Poeta
9949,Sueño del Niño Negro
9950,Sueño del Niño Negro
9951,Sueño en Paraguay - El Remolón & Ale Ortiz Remix
9952,Sueño querido - Remastered
9953,Sueño tus Besos
9954,Sueños de Agua (Arr. by Eduardo Egüez)
9955,Sueños de Agua (Arr. by Eduardo Egüez)
9956,Sufrida tierra mía
9957,Sufrida tierra mía
9958,Sufrida tierra mía
9959,Sufro
9960,Sufro - Remasterizado
9961,Suggestions
9962,Suggestions
9963,Suipacha
9964,Suite Indiana 1-Argentina
9965,Suite Indiana 2-Venezuela
9966,Suite Indiana 3-Paraguay
9967,Suite Indiana 4-Brasil
9968,"Suite del Plata, No. 1: Candombe"
9969,"Suite del Plata, No. 1: Milonga"
9970,"Suite del Plata, No. 1: Murga"
9971,"Suite del Plata, No. 1: Preludio"
9972,"Suite del Plata, No. 1: Tango"
9973,Suite del Recuerdo: I. Evocación
9974,Suite del Recuerdo: II. Zamba
9975,"Suite española No. 1, Op. 47: No. 5, Asturias (Arr. A. Segovia for Guitar)"
9976,Suite para los 149 Barrios Porteños
9977,Suite para los 149 Barrios Porteños
9978,Suite para los 149 Barrios Porteños
9979,Suite: Agitato
9980,Suite: Allegro rustico
9981,Suite: Calmo
9982,Sulamita - Remasterizado
9983,Sulky - Emisor Remix
9984,Sumaj Canqui
9985,Sundarbans I
9986,Sundrops
9987,Sunflowers
9988,Superglue - Remix
9989,Superman Sin Capa - Remix
9990,Superman Sin Capa - Remix
9991,Superman Sin Capa - Remix
9992,Suplicio - Remasterizado
9993,Supongamos
9994,Sur (arr. A. Carlevaro)
9995,Sur (with Héctor de Rosas)
9996,Sur (with Héctor de Rosas)
9997,"Sur la terrasse Suite, Op. 25: I. Demi - Teinte (Media luz)"
9998,"Sur la terrasse Suite, Op. 25: II. Serenade des Grenouilles (Serenata de las ranas)"
9999,"Sur la terrasse Suite, Op. 25: III. Cortege nocturne (Cortejo nocturno)"
10000,Sur o No Sur (feat. León Gieco)
10001,Sur: South
10002,Surimana
10003,Surubi - Jazz Online Club Sessions
10004,Sus Ojos Se Cerraron - Remasterizado
10005,Sus ojos se cerraron
10006,Susheta
10007,Suspicious Photo
10008,Susques
10009,Sustancia Prohibida
10010,Susurros en la noche
10011,Suzie Wong
10012,Suéltate Rock and Roll (feat. Polifemo)
10013,Sweet Heat
10014,Sweet Home Buenos Aires (feat. Charly García)
10015,Sweet Home Buenos Aires (feat. Charly García)
10016,Swing Summit
10017,Swing Summit
10018,Switch
10019,Sábanas Blancas
10020,Sábanas Blancas
10021,Sábanas Blancas
10022,Sábanas Blancas
10023,Sábanas Blancas
10024,Sácame Chacaera
10025,Sátiros y Santos (feat. Chango Spasiuk)
10026,Sé Que Te Voy a Amar - Cover
10027,Sépase
10028,Séptimo Aire de Vals
10029,Sérénade Méditerranéenne
10030,Só Danço Samba
10031,Sólo Dios Sabe por Qué (with Fernando Soler)
10032,Sólo Figuras
10033,Sólo Le Pido A Dios
10034,Sólo Luz
10035,Sólo tenemos ciencia
10036,Súper Cali Fragil
10037,T'inki
10038,T.B.C
10039,T.B.C.
10040,TARDE
10041,TARDE
10042,TENGO
10043,TIERRA ZANTA
10044,TODO AUTOMATICO
10045,TOXIC POSITIVITY
10046,TRAP DE VERDAD
10047,TRAP ON THE ROCKS
10048,TRAPPIST-1
10049,TRIATHLON
10050,TU CINTURA
10051,TU CINTURA
10052,Tabú
10053,Tac Tac Tac
10054,Tacita de Plata
10055,Tacita de plata
10056,Taco Largo
10057,Taconeando
10058,Taconeando
10059,Taconeando
10060,Taconeando - Remasterizado
10061,Tafi del Valle
10062,Tag
10063,Tajo a Tajo
10064,Take Him Out
10065,Take a Break...
10066,Take a Break...
10067,Tal Vez Mi Nena
10068,Tal Vez Será Su Voz - Astor Piazzolla
10069,Tal Vez Será Su Voz - Astor Piazzolla
10070,Tal para Cual - Remastered
10071,Tal vez sea su voz
10072,Tal vez será mi alcohol
10073,Tale Of The Whale
10074,Talismán - Instrumental (Remasterizado)
10075,Tallador
10076,Talón de Perro
10077,Tamar - Marta
10078,También Extrañan a Size
10079,Tamo Chelo Clandestino Rkt - Remix
10080,Tamo Real
10081,Tan Azul - Emisor Remix
10082,"Tan Cerca de Dios, Tan Cerca de Ti"
10083,Tan Cálida y Tormentosa
10084,Tan Triste :(
10085,Tanaka
10086,Tangazo for Orchestra (Variations on Buenos Aires)
10087,Tango (Voz De Tango)
10088,Tango - Buenos Aires 20/07/1942 (Restauración 2022)
10089,Tango 70
10090,Tango Amigo - Remasterizado
10091,Tango Argentino - Remasterizado
10092,Tango Barroco - Instrumental
10093,Tango Del Colectivo
10094,Tango En Curda
10095,Tango Español - Remasterizado
10096,Tango Lindo - Remasterizado
10097,Tango Melódico
10098,Tango Milonga
10099,Tango Obertura
10100,Tango One
10101,Tango Provinciano
10102,Tango Provinciano
10103,Tango Triste - Mi Tango Triste
10104,Tango Y Copas - Astor Piazzolla
10105,Tango Y Copas - Astor Piazzolla
10106,Tango de los Abuelos y los Padres y los Hijos
10107,Tango de los Abuelos y los Padres y los Hijos
10108,Tango de los Abuelos y los Padres y los Hijos
10109,Tango del Ángel
10110,Tango del ángel
10111,Tango del ángel
10112,Tango del ángel
10113,Tango en Segunda
10114,Tango milonga y final: Final feliz
10115,Tango milonga y final: Milonga de Junio
10116,Tango milonga y final: Tango de Abril
10117,Tango mio
10118,"Tango, Milonga y Final: I. Tango de Abril"
10119,"Tango, Milonga y Final: II. Milonga de Junio"
10120,"Tango, Milonga y Final: III. Final. Feliz"
10121,Tangoloco Remix
10122,Tangon - Remasterizado
10123,Tangos for two pianos: Adios Nonino
10124,Tangos for two pianos: Adios Nonino
10125,Tangos for two pianos: Revirado
10126,Tangos for two pianos: Revirado
10127,Tangos y Copas
10128,Tangos: No. 1. Evocacion (Remembrance)
10129,Tangos: No. 2. Lloron (Whiner)
10130,Tangos: No. 5. Nostalgico
10131,Tanguano - Remasterizado
10132,"Tanguedia 1 - Tango, el Exilio de Gardel - Sur el Viaje"
10133,"Tanguedia 1 - Tango, el Exilio de Gardel - Sur el Viaje"
10134,"Tanguedia 1 - Tango, el Exilio de Gardel - Sur el Viaje"
10135,"Tanguedia 2 - Tango, el Exilio de Gardel - Sur el Viaje"
10136,"Tanguedia 2 - Tango, el Exilio de Gardel - Sur el Viaje"
10137,"Tanguedia 2 - Tango, el Exilio de Gardel - Sur el Viaje"
10138,"Tanguedia 3 - Tango, el Exilio de Gardel - Sur el Viaje"
10139,"Tanguedia 3 - Tango, el Exilio de Gardel - Sur el Viaje"
10140,"Tanguedia 3 - Tango, el Exilio de Gardel - Sur el Viaje"
10141,Tanguedia III
10142,Tanguismo
10143,Tanguismo
10144,Tanguistoria
10145,Tangus Dei
10146,Tangus Dei
10147,Tangón - Remasterizado
10148,Tanita de la Proa - Remasterizado
10149,Tanque
10150,Tantas Vueltas
10151,Tanti Anni Prima - Fueye del Sol
10152,Tantos sí para dejarte
10153,Tanza
10154,Taquilo Militar
10155,Taquilo Militar
10156,Taquito Militar
10157,Taquito Militar
10158,Taquito militar - Remasterizado
10159,Taquito militar - Remasterizado
10160,Taquiña
10161,Tarantella
10162,Tarantino
10163,Tarde de Lilas
10164,Tardes Grises
10165,Tardes Porteñas
10166,Tardes de Agosto
10167,Tardes de Verano (feat. Nahuel Barbero & Acus) - Del Otro Lado Sessions
10168,Taripai Cha Cucharata
10169,Tarántula
10170,Tata Sarapura
10171,Tata Y Memé
10172,"Tata, Me Quiero Casar"
10173,Tatu Carreta
10174,Tatuaje
10175,Tatuajes de Minú
10176,Tatuajes de Minú
10177,Tauro
10178,Te Abracé en la Noche
10179,Te Agradezco
10180,Te Amo Solo
10181,Te Amo y Serás Mia - Remasterizado
10182,Te Arrepentirás (feat. Karina & La Joaqui)
10183,Te Burlas Tristeza - Remastered
10184,Te Deum
10185,Te Digo
10186,Te Encontraré
10187,Te Encontre
10188,Te Esperaré (with Marcela Morelo)
10189,Te Estás Quedando Sin Balas de Plata...
10190,Te Fuiste... Ja Ja!
10191,"Te Fuiste... Ja, Ja - Remasterizado"
10192,Te Gane de Mano
10193,Te Gané de Mano
10194,Te He Visto Llorar - Remasterizado
10195,Te Hei de Querer
10196,Te Hei de Querer
10197,Te Juro
10198,Te Llama Mi Violin
10199,Te Llegara Una Rosa
10200,Te Lo Digo por Tu Bien
10201,Te Odio - Remastered
10202,Te Odio - Remasterizado
10203,Te Paso a Buscar
10204,Te Pido En Agosto
10205,Te Querés Casar?
10206,Te Quiero Mucho Más - Remasterizado
10207,Te Quiero Porque Te Quiero (with Diego Solís)
10208,Te Quiero Todavía - Remasterizado
10209,Te Quiero un Chingo
10210,"Te Quiero, Morena Linda"
10211,Te Recuerdo
10212,Te Tuve Que Perder (with Diego Solís)
10213,Te Vas a Arrepentir
10214,Te Voy a Contar un Sueño (feat. Rodolfo García)
10215,Te Voy a Contar un Sueño (feat. Rodolfo García)
10216,Te aconsejo que me olvides
10217,Te amaré sin flores
10218,Te estaba esperando
