numero,Id,Label,id_artista,popularidad,generos_musicales,genero
13,Cazzu,Cazzu,spotify:artist:6w3SkAHYPsQ1bxV7VDlG5y,73,"['argentine hip hop', 'rap latina', 'reggaeton', 'trap argentino', 'trap latino']",female
14,ZARAMAY,ZARAMAY,spotify:artist:3wsYquQ9CiMlYG54BUR2ff,55,['argentine hip hop'],male
15,Homer El Mero Mero,Homer El Mero Mero,spotify:artist:0Xo4VFS3v07L0GwIVkZLfg,60,['argentine hip hop'],male
16,LIT killah,LIT killah,spotify:artist:1vqR17Iv8VFdzure1TAXEq,73,"['argentine hip hop', 'trap argentino', 'trap latino', 'trap triste']",male
17,C.R.O,C.R.O,spotify:artist:4puAp107dCehraE47QXVQX,70,"['trap argentino', 'trap latino', 'trap triste']",male
18,Lucho SSJ,Lucho SSJ,spotify:artist:1OBizG9nrnHJkrL9NjnWYN,57,"['trap argentino', 'trap chileno', 'trap latino']",male
19,Dani Ribba,Dani Ribba,spotify:artist:6cC67GpmPCjQjOYLpmOGhN,61,"['argentine hip hop', 'trap argentino', 'trap latino']",male
20,Pekeño 77,Pekeño 77,spotify:artist:5eIRbSES1yeGSBuqZ4xvuD,50,"['rap uruguayo', 'trap latino']",male
21,LOUTA,LOUTA,spotify:artist:5l4GdLELvdnXZVT5g947i3,56,"['argentine alternative rock', 'argentine indie', 'electronica argentina', 'latin rock', 'pop argentino']",male
22,Frijo,Frijo,spotify:artist:4D2d63igYEdzhzFnxrSow7,55,"['argentine hip hop', 'trap argentino', 'trap latino']",male
23,John C,John C,spotify:artist:66lf5bQo2BIEue1pxfgxQS,56,['trap argentino'],male
24,CA7RIEL,CA7RIEL,spotify:artist:348pk4o3EhKmsSahzuClSf,55,"['argentine indie', 'electronica argentina', 'trap argentino']",male
25,Kiddo Toto,Kiddo Toto,spotify:artist:1Mj0XQhXbzIXfoWTN391N6,44,['trap argentino'],male
26,Dillom,Dillom,spotify:artist:4cJD9t5QBFTUQcd3xfbOb2,63,['trap argentino'],male
27,Kodigo,Kodigo,spotify:artist:3hwgckfLtTHdnkf694c7HS,50,"['argentine hip hop', 'bases de freestyle', 'trap argentino']",male
28,Blunted Vato,Blunted Vato,spotify:artist:15RLdM61VHtknTIYIuNviR,54,"['argentine hip hop', 'cumbia 420', 'trap argentino']",male
29,Paco Amoroso,Paco Amoroso,spotify:artist:3E7NGbzUGlOjgYY8nvtijR,54,['argentine indie'],male
30,Axel Fiks,Axel Fiks,spotify:artist:6GEaxHZNiogI175zUr4KvH,51,['argentine indie'],male
31,Halpe,Halpe,spotify:artist:5fUaIEaRhzIad7C49MqTsy,51,[],NA
32,Ecko,Ecko,spotify:artist:2Jb9jVnCpWkXtoGznFJ6bF,63,"['argentine hip hop', 'trap argentino', 'trap latino']",male
33,XOVOX,XOVOX,spotify:artist:2mzbm2cwDrAgc9zxcXvfC1,46,[],male
34,Victor Heredia,Victor Heredia,spotify:artist:07S2B15CcvWG4jyfMhqx8X,49,"['argentine rock', 'cantautor', 'musica andina chilena', 'nueva cancion', 'rock nacional', 'trova']",male
35,Taiu,Taiu,spotify:artist:5szJHKg5xeUlQ9pTqzdpic,60,[],male
36,Yesan 雪山,Yesan 雪山,spotify:artist:6pJPxDgaE0H343SrASnY9J,53,[],male
37,ONIRIA,ONIRIA,spotify:artist:6mkRgafSHF30Dr2wEch4YU,44,['trap argentino'],NA
38,WOS,WOS,spotify:artist:5YCc6xS5Gpj3EkaYGdjyNK,71,"['argentine indie', 'trap argentino']",male
39,2 minutos,2 minutos,spotify:artist:5sASmkskUJsvYDSYKRkkYd,49,"['argentine punk', 'argentine rock', 'latin alternative', 'rock en espanol', 'ska argentino']",NA
40,NEGRO DUB,NEGRO DUB,spotify:artist:65VS702SIPGgTpWgTQupMA,51,[],male
41,Kaleb Di Masi,Kaleb Di Masi,spotify:artist:5U5wYVqrbD6J8SK4kNhau4,67,"['cumbia 420', 'rkt']",male
42,Omar Varela,Omar Varela,spotify:artist:5xIOUIBQhGFX7HIj8lhdyU,70,['gaming dubstep'],NA
43,Papichamp,Papichamp,spotify:artist:1qoJTYkRvsRJMTOxnUnpNW,55,[],male
44,Perro Primo,Perro Primo,spotify:artist:4MUsDaGK0nPDJvYSoaoFUA,57,"['cumbia 420', 'previa']",male
45,Rodrigo,Rodrigo,spotify:artist:235Vf4hkmwvxjVEMuCbRxm,59,"['argentine rock', 'cuarteto', 'cumbia villera', 'rock en espanol']",male
46,TINI,TINI,spotify:artist:7vXDAI8JwjW531ouMGbfcp,77,"['latin pop', 'pop argentino']",female
